Progress,Duration (in seconds),Consent,Gender1,Race1,Race1_6_TEXT,Citizen,USborn,Residency_1,Residency_2,ConservativeIdeo,LiberalIdeo,GenPartyAffiliation,GenPartyAffiliation_4_TEXT,threatTime_First Click,threatTime_Last Click,threatTime_Page Submit,threatTime_Click Count,assuagedThreatTime_First Click,assuagedThreatTime_Last Click,assuagedThreatTime_Page Submit,assuagedThreatTime_Click Count,purposeAllCond,groupGrowth,whitePopChange,groupPower,reasonDemoShift,Readability,Informativity,systemThreat,USheaded,certain,statusThreatPercept,changecult,racetied,policy-timing_First Click,policy-timing_Last Click,policy-timing_Page Submit,policy-timing_Click Count,ImmigrantCitizenship,ImmigrationNumber,MilitaryFund,AffirmativeAction,Healthcare,EnglishNationalLang,Prisons,GenPolSpectrum,Age,Education,Income,primeRepeat,Guess,Comments,Condition
100,826,1,2,3,,1,1,1,38,5,5,3,,,,,,0,0,156.888,0,To show a shift in demographics.,4,4,1,Immigration. ,1,1,6,2,2,4,18,17,15.932,164.203,166.063,9,4,1,3,7,3,7,2,5,44,4,1,2,Something to do with racial prejudices I'm guessing.,No,Assuaged Threat
100,291,1,1,3,,1,1,1,11,1,1,1,,10.682,36.748,41.156,5,,,,,To discuss how white people are on track to becoming a minority population sooner than expected,4,4,2,Immigration,2,5,2,1,1,4,18,13,6.786,69.054,69.87,15,2,5,1,4,1,1,1,1,29,3,1,2,Judge how reading an article can influence political perspectives,,Status Threat
100,308,1,1,3,,1,1,1,11,1,1,1,,0.577,53.407,66.988,7,,,,,To declare the shift in racial makeup in the US is occurring faster than anticipated ,4,4,1,Whites are dying out and not having as many children as non-whites,1,2,4,2,3,4,14,16,4.33,43.062,43.734,13,3,4,4,7,1,5,2,3,58,5,1,1,That things are shifting faster than anticipated ,,Status Threat
100,912,1,1,3,,1,1,1,16,6,3,1,,1.709,69.83,119.491,6,,,,,To inform people about a change in minorities in america.,1,4,2,It would be because of geographical locations.,1,1,3,2,2,5,17,16,0.584,471.529,472.428,45,3,2,4,4,2,4,4,5,34,3,2,2,People are racist,,Status Threat
100,405,1,2,3,,1,1,1,41,4,6,3,,0.692,68.542,85.951,25,,,,,To show the ratio of races of people ,4,3,2,Hispanics having more babies,1,2,2,1,2,4,18,16,2.58,89.74,90.288,33,3,3,3,4,1,7,4,4,21,2,3,2,To see how people feel about races,,Status Threat
100,557,1,2,3,,1,1,1,15,2,2,1,,,,,,0,0,156.969,0,Discussing the direction of diversity in the country.,4,5,2,The white populations birth rates have decreased while the racial minorities birth rates have rised.,4,2,3,2,2,3,17,15,10.904,99.2,100.412,13,2,3,2,4,1,4,2,2,35,3,5,2,To gather input on how people perceive the direction the US is going ,,Assuaged Threat
100,473,1,2,3,,1,1,1,47,3,3,3,,2.493,130.479,131.636,5,,,,,white people may become a minority sooner than thought,4,5,2,more young Hispanics are having babies ,1,2,2,2,2,4,18,14,1.401,97.803,99.074,28,2,5,1,1,1,4,2,2,27,2,4,2,I'm not sure,N/A,Status Threat
100,348,1,1,5,,1,1,1,5,7,6,2,,,,,,4.195,61.104,73.929,7,Changing racial demographics ,4,5,1,Whites having fewer babies versus hispanics ,1,3,6,1,1,6,18,13,5.085,69.377,70.015,24,5,1,2,7,3,7,6,7,37,4,4,2,"Despite an increase in population numbers, whites will still be at a socioeconomic advantage ",,Assuaged Threat
100,386,1,2,3,,1,1,1,29,1,1,1,,,,,,0,0,72.858,0,To talk about how white Americans are likely going to be a racial minority sooner than had been predicted.,4,5,2,White boomers are past child-bearing age and younger hispanic people are having more kids.,1,1,2,3,3,6,18,14,8.088,61.74,62.912,8,3,3,1,3,1,4,3,1,42,5,5,2,That the change in the racial majority in the US will bring about cultural change,n/a,Assuaged Threat
100,558,1,1,3,,1,1,1,26,6,5,2,,,,,,0,0,98.502,0,Project minority change,4,4,1,Aging out,2,2,2,3,4,6,17,14,9.677,154.204,155.568,10,3,5,4,6,5,3,4,6,44,5,8,2,White population losing majority designation,,Assuaged Threat
100,456,1,1,3,,1,1,1,6,3,3,3,,,,,,6.328,29.174,52.526,5,Demographics ,4,5,1,Immigration and birthrates among minorities,2,2,2,4,5,4,18,14,8.111,77.158,77.927,9,3,3,3,7,2,5,2,4,69,5,10,2,Demographic changes in America,,Assuaged Threat
100,408,1,2,3,,1,1,1,10,1,1,1,,14.844,52.889,56.696,11,,,,,To explain why minorities will outnumber whites earlier than was expected.,4,3,1,Higher birth rates of Hispanics.,1,2,1,3,1,6,18,13,5.35,64.511,66.479,27,3,3,1,2,1,2,1,1,58,3,2,2,To see the reactions of people to this news.,,Status Threat
100,272,1,2,3,,1,1,1,33,2,2,1,,8.826,62.986,64.585,14,,,,,Minorities may become majorities ,4,3,2,More Hispanics having children at a higher rate then white race,1,1,1,3,3,1,13,13,2.968,36.797,37.506,26,1,3,3,1,1,4,1,4,39,3,6,2,Majorities will change in 20 years,,Status Threat
100,513,1,2,3,,1,1,1,16,4,4,3,,2.447,59.467,63.079,14,,,,,Racial minorities will outnumber White Americans sooner than predicted ,4,4,1,Hispanics birth rates have risen,2,1,6,2,1,5,19,17,10.18,86.006,86.585,40,4,1,5,7,2,7,2,4,31,5,3,2,To see if our race influences our opinions about citizenship.,,Status Threat
100,511,1,2,3,,1,1,1,36,5,5,2,,,,,,0,0,281.849,0,to let everyone know the studies of politics,4,4,2,gen z,2,2,4,4,4,4,16,16,0.909,15.344,16.976,9,3,3,3,4,4,4,4,4,21,5,10,2,i dont know,,Assuaged Threat
100,324,1,2,3,,1,2,1,26,1,1,3,,4.83,68.918,76.763,8,,,,,To discuss how racial minorities are becoming the majority,4,5,2,Younger women are having children,2,1,1,2,1,6,19,18,8.46,72.817,73.651,36,2,4,1,1,1,1,1,1,30,6,6,2,How certain demographics process info,,Status Threat
100,238,1,1,3,,1,1,1,43,5,3,3,,41.005,41.005,42.502,1,,,,,To show that minorities will soon be the majority in the US,4,4,2,Baby boomers who are white being past their childbering years.,1,2,5,2,2,4,17,14,1.997,36.802,37.808,17,3,2,2,5,1,7,1,4,42,5,4,2,Thoughts on immigration,,Status Threat
100,492,1,2,3,,1,1,1,38,5,6,2,,,,,,0,0,144.057,0,That White Americans will be the minority soon er then expected.,4,1,1,Immigrations and the birth rate of Hispanic babies.,1,1,5,1,2,5,15,17,8.415,67.077,67.891,8,4,1,3,5,4,7,1,6,55,3,1,2,Do whites disagree?,,Assuaged Threat
100,621,1,1,3,,1,1,1,24,1,2,1,,,,,,0,0,178.674,0,The purpose is to point out that whites no longer being a majority is happening a little faster than expected,4,3,1,"Whites are having children at a rate of roughly 1 child per 1 death, whereas Hispanics were stated as having roughly 9 children per 1 death",2,1,2,2,3,5,18,17,7.816,69.389,70.382,10,2,4,1,2,2,4,2,2,52,5,3,2,Maybe to see how white people respond to this change in demographics,"I do think that American society is becoming worse -- just look at the state of our politics, and hate crimes, and hate laws, and just lots of general regression (e.g. roe v wade).  However, I don't think this is because of the demographic changes mentioned in this study.  ",Assuaged Threat
100,591,1,2,3,,1,1,1,20,7,7,2,,,,,,0,0,214.93,0,Update information on minority population shifts.,4,5,2,Increased immigration,2,2,4,1,2,5,18,13,3.841,86.504,88.021,9,3,1,2,7,4,7,4,7,52,3,4,2,Immigration has the potential to make large shift in our society,n/a,Assuaged Threat
100,625,1,2,3,,1,1,1,23,2,2,1,,,,,,0,0,195.145,0,Discusses the change in when it is predicted that whites will become the minority in the US.,4,4,1,"Higher birth rates among minorities, especiallyy Hispanic/Latino",1,2,2,3,5,3,17,16,18.45,98.678,99.97,10,2,4,4,5,3,4,1,2,70,6,6,2,"While minoritie groups collectively become the majority, social status will remain unchanged.",,Assuaged Threat
100,722,1,2,3,,1,1,1,4,2,2,1,,,,,,0,0,212.531,0,To report on projected increase in racial minorities as a percentage of the US population,4,4,1,Increased immigration and higher birthrates among racial minorities,2,1,2,2,4,5,18,17,7.787,117.834,118.903,9,3,3,2,2,2,6,2,2,69,5,5,2,Increased population of racial minorities will impact perception of US society,,Assuaged Threat
100,613,1,1,3,,1,1,1,36,7,3,3,,0,0,96.746,0,,,,,The report on racial minority growth in the United States,4,5,2,Unprecedented immigration,2,1,5,2,2,5,19,13,9.458,110.811,111.879,8,3,1,3,7,6,4,5,7,59,3,2,2,With enough information people can make informed decisions,Throwing money at a problem will not fix it...smart management is called for and greatly lacking in the buerocricy our government has become ,Status Threat
100,375,1,1,3,,1,1,1,10,2,6,3,,0,0,58.801,0,,,,,To hypothesize and predict on future demographics.,3,5,2,White baby boomers aging and more Latinos having children.,2,2,2,2,5,3,15,16,5.78,38.851,40.001,11,3,3,1,4,1,2,2,4,61,5,4,2,Decision on race and future implications ,none,Status Threat
100,419,1,2,3,,1,1,1,15,2,3,1,,,,,,4.059,245.819,249.021,7,To reveal the belief that whites may become a minority ,4,4,2,Higher birth rates among Hispanics,1,1,2,2,3,5,18,17,3.148,41.539,41.95,29,2,3,3,4,1,5,5,3,23,5,5,2,How people feel about racial minorities ,,Assuaged Threat
100,741,1,2,3,,1,1,1,41,4,4,3,,,,,,0,0,196.668,0,"To inform that White americans would no longer be the majority, which was expected to happen, just not quite so soon. It also explained why this is happening. ",4,3,1,More immigrants moving into the country and having more children. ,1,1,3,2,1,2,18,16,20.146,110.259,111.235,11,3,4,2,4,1,6,1,4,42,5,5,2,People would be unaware of the shifting population among whites and minorities. ,"I think we all have skin. We focus far too much on skin color, and continuing to do so only continues to divide us, no matter what your intentions. ",Assuaged Threat
100,521,1,2,3,,1,1,1,44,3,2,3,,3.104,82.15,83.161,33,,,,,To inform that racial minorities together will soon be the majority ,4,4,2,"White people have a lower birth rate than minorities, particularly Hispanic ",1,1,2,2,6,6,17,17,0.822,103.588,104.605,63,2,4,2,6,1,4,1,2,52,5,2,2,I don't know! That white people generally might feel negatively about this and minorities positive about it?,Ty! Merry Christmas!,Status Threat
100,410,1,2,3,,1,1,1,15,1,1,1,,0,0,101.364,0,,,,,To show that white people may be the minorities in america sooner than originally predicted. ,4,4,2,Higher birth rates among racial minorities. ,1,1,1,3,3,1,17,13,4.136,58.831,59.652,12,1,5,1,2,1,1,1,1,28,5,3,2,That white people would be upset they will soon be minorities. ,no,Status Threat
100,827,1,2,3,,1,1,1,34,1,1,1,,4.119,129.041,130.282,28,,,,,To explain how minority groups are expected to become the majority of the population in the United States in much less time than originally predicted. ,4,3,2,Much higher birth rates among Hispanics compared to whites. ,1,1,2,3,3,2,17,13,8.447,135.703,136.723,94,3,2,2,4,1,5,1,2,59,3,2,2,How the way you feel about minorities related to your political beliefs ,Thanks,Status Threat
100,345,1,2,3,,1,1,1,47,7,7,2,,2.421,46.803,49.009,3,,,,,non white groups will become the majority,4,4,2,whites birth to death ration is 1 to 1. Hispanics is 9 to 1,5,5,4,2,2,6,18,16,16.23,85.541,86.603,15,3,2,4,7,7,6,3,6,52,5,10,2,not sure,,Status Threat
100,507,1,2,3,,1,1,1,14,3,3,1,,,,,,0.792,3.777,222.542,3,to inform on the demographic changes happening in the immediate future of the US,2,4,1,immigration and increase in minority birth rates,2,2,3,3,4,4,17,17,3.718,57.126,61.304,25,3,2,2,4,2,5,2,2,34,6,5,2,diversity will increase more and more,,Assuaged Threat
100,566,1,1,3,,1,1,1,19,6,3,2,,,,,,0.878,109.715,110.428,9,to show statistics about how minorities are surpassing white population numbers,4,3,1,Hispanics are having more children ,2,4,2,2,1,3,19,15,1.935,139.287,139.996,24,3,1,2,7,1,7,2,6,27,3,2,2,to see how we feel about minorities surpassing white ,,Assuaged Threat
100,404,1,2,3,,1,1,1,34,1,1,1,,0,0,90.013,0,,,,,To discuss projected racial minority increases in population compared to non-hispanic whites.,4,3,1,Immigration and higher birth rates among hispanic population,1,2,1,4,4,6,17,13,7.351,66.366,67.446,18,2,3,1,6,1,3,1,2,39,7,6,2,Different political affiliations will interpret population data differently,"A question asked which racial group will have more status in 2040, and I stated whites. Although I do see that there will be an increase in hispanics, I still think that whites will hold the majority of the status and power.",Status Threat
100,579,1,2,3,,1,1,1,33,2,2,1,,,,,,0,0,146.072,0,to give information about shifts in minority population trends,4,4,1,minorities are having more babies than white Americans and there is more immigration ,2,2,2,3,3,2,14,17,27.691,137.375,138.345,13,3,2,1,2,1,6,2,2,34,6,8,2,to see how different political groups react to this article ,some of these questions were too long,Assuaged Threat
100,343,1,2,3,,1,1,1,45,1,1,1,,0,0,66.909,0,,,,,To report how demographics are changing more rapidly than predicted.,4,5,2,More racial minority babies being born than white babies.,1,1,1,4,3,2,18,13,7.272,63.096,64.628,11,3,5,1,2,1,1,1,1,61,4,7,2,racial prejudice?,,Status Threat
100,297,1,2,3,,1,1,1,31,1,1,1,,,,,,0.501,80.284,80.855,17,It feels like it's just intended to share the results of the study.,4,3,1,Racial minorities are having babies at a higher rate than white people,1,2,1,3,1,2,17,16,6.947,31.571,32.222,9,3,3,1,2,1,1,1,1,31,5,5,2,I'm not sure.,,Assuaged Threat
100,918,1,2,3,,1,1,1,50,1,2,1,,0,0,159.724,0,,,,,to inform that the US has a larger population portion of minorities rather than white people,4,5,2,"baby boomers are past child rearing age, so now it is a 1:1 ration for white people being born and dying, and for Hispanic people its a 9:1 ratio of people being born versus dying",1,2,1,4,5,6,18,14,10.786,143.703,145.752,8,2,5,1,1,1,4,1,2,26,5,3,2,remembering information that is being presented is susceptible to political ideology bias,,Status Threat
100,511,1,3,3,,1,1,1,6,1,2,4,Socialist,,,,,0,0,108.917,0,To convey demographic information.  It seemed fairly unbiased.,4,4,1,White Americans are having fewer children,2,2,1,1,1,4,16,14,9.156,79.147,80.264,8,3,3,1,3,1,1,1,1,42,5,4,2,"That liberals will interpret the article through one lens, conservatives through another",,Assuaged Threat
100,503,1,1,3,,1,1,1,39,4,4,3,,,,,,12.736,141.781,145.239,22,To educate the number of different races in America in the future,4,4,2,More births from minorites while white stays the same/declines slightly,1,1,5,2,2,5,18,17,9.427,100.162,100.901,29,3,2,3,6,2,7,3,5,25,5,5,2,"That the race knowen as ""white"" will be in the minority one day.",,Assuaged Threat
100,569,1,1,3,,1,1,1,44,5,3,3,,0,0,75.324,0,,,,,To update the projection of when white - no hispanic residents will be in the minority in the United States,4,5,2,Mass immigration and low conception rates among whites,2,2,4,2,4,4,17,16,14.053,111.292,112.4,8,3,1,4,7,6,5,5,5,63,5,7,2,To determine ethnic identity and how it cross references in society,,Status Threat
100,472,1,1,3,,1,1,1,10,4,3,1,,0.262,0.262,102.699,1,,,,,to discuss future demographics,4,4,2,immigration,3,2,2,2,2,5,17,15,98.746,126.486,127.099,9,3,2,4,4,2,4,2,3,21,3,10,2,,,Status Threat
100,452,1,1,3,,1,1,1,40,2,5,3,,,,,,0,0,114.177,0,To show an increase in minorities in the coming years. They will become the  majority.,4,4,1,Immigration,3,1,1,3,5,2,14,16,10.737,95.758,96.587,11,3,3,4,5,1,4,6,4,62,5,3,2,That minorities will  become the majority in the future.,,Assuaged Threat
100,477,1,2,3,,1,1,1,33,2,3,1,,,,,,0,0,122.641,0,To show statistics that point to the decline of the white population in the United States.,4,5,1,The minorities are having more babies.,1,1,3,2,2,5,18,18,6.841,64.79,66.102,9,3,2,3,6,2,7,5,2,75,6,3,2,That things will change pretty drastically ethnicity wise but not as far as whites still predominating in the higher jobs.,,Assuaged Threat
100,875,1,1,3,,1,1,1,44,2,6,1,,0,0,163.727,0,,,,,to show that there is more white people then any body else,3,1,1,white people world,1,1,6,1,1,6,18,18,15.717,239.739,240.901,19,5,1,1,7,1,7,1,4,47,2,1,2,the whites arenot the head person anymore,,Status Threat
100,355,1,2,3,,1,1,1,33,4,4,4,none,,,,,2.607,61.728,63.029,19,Changes in racial demographics,4,5,2,more racial minorities having more children,2,1,1,3,4,4,18,14,1.181,77.31,77.984,30,3,3,2,5,1,3,2,4,35,5,9,2,unsure,none,Assuaged Threat
100,1025,1,1,3,,1,1,1,39,1,1,1,,,,,,0,0,136.126,0,"To show that the amount of racial minorities in the US is growing, to the point where they're technically not even the minority anymore.",4,4,1,Hispanic people are having about 9 times more children than white people.,1,1,2,2,2,6,19,13,19.261,151.914,153.768,10,4,1,1,7,1,7,1,2,24,2,3,2,"Racial minorities will soon become the majority instead,","I wish some of the questions had optional comments to explain our reasoning, a lot of the topics are much more complex than a simple agree or disagree.",Assuaged Threat
100,1501,1,2,3,,1,1,1,39,4,3,3,,17.324,193.476,195.437,2,,,,,To educate people on growing minority levels in the US.,1,4,1,Immigration,4,2,4,3,3,6,17,14,418.13,503.529,504.417,20,2,3,2,4,2,2,2,3,22,4,7,2,People who respond favorably to the article are more liberal.,n/a,Status Threat
100,766,1,1,3,,1,1,1,16,6,6,2,,13.013,175.534,176.836,7,,,,,The purpose is to inform about the potential future changes in the United States ethnic population.,4,3,2,More favorable birth to death rates among Hispanics versus non Hispanic whites.,2,2,3,3,5,4,16,15,13.289,110.693,111.881,19,3,1,4,6,7,5,4,6,52,3,6,2,In the near future traditional the non Hispanic white population will become the minority.,,Status Threat
100,316,1,1,3,,1,1,1,36,4,4,3,,,,,,7.719,54.501,58.297,16,To discuss demographics.,4,4,2,Birth rates. ,2,3,5,2,3,5,17,16,2.168,51.411,52.285,32,4,2,3,6,4,4,4,4,28,5,3,2,Something about processing information. ,,Assuaged Threat
100,415,1,2,3,,1,1,1,45,1,1,1,,0,0,106.38,0,,,,,To release information that racial minorities are now becoming the majority quicker than expected.,4,3,1,"Racial minorities are having more children, about 9 births to 1 death, while whites are maintaining at about a 1 to 1 ratio.",1,2,2,2,1,5,18,14,11.463,68.067,69.347,8,2,4,1,2,1,4,2,1,29,5,4,2,That racial minorities will become the majority within the next 15 years. ,,Status Threat
100,611,1,2,3,,1,2,1,18,1,1,1,,,,,,124.965,151.949,152.75,5,Demographics is showing that we are on track to becoming a minority majority nation sooner than the projected 2050 prediction made earlier.,4,5,1,The birth rate among Hispanics is 9 births for every Caucasian birth and the death rate is even.,1,1,4,5,5,6,17,14,3.34,111.166,112.274,15,3,5,4,1,1,1,1,1,71,5,4,2,Judging people's reactions to the idea of being a minority as a Caucasian. ,,Assuaged Threat
100,259,1,2,3,,1,1,1,7,1,1,1,,,,,,0,0,45.649,0,to explain that racial minorities are going to surpass the white majority,4,4,1,hispanic people having more children than white,1,1,1,3,3,3,17,19,6.482,39.985,40.885,8,3,4,1,1,1,1,1,1,37,6,10,1,people's politics guide their view of news articles,,Assuaged Threat
100,289,1,2,3,,1,1,1,24,2,2,3,,5.862,5.862,41.337,1,,,,,to let people know about changing demograpics,3,4,2,increase in Hispanic population,2,1,1,3,4,1,17,13,24.927,47.496,67.98,5,3,3,1,4,1,7,1,3,41,6,8,2,see how political leaning affected interpretation of the article,,Status Threat
100,394,1,2,3,,1,1,1,43,2,3,1,,0,0,64.74,0,,,,,To inform about the fact that USA minority racial groups may become the majority quicker than expected,4,4,2,There is currently a birth/death ratio of 9:1 for Hispanic people while white people are roughly 1:1,2,2,2,2,2,5,17,14,16.802,96.671,97.452,10,2,3,2,2,2,4,1,2,23,5,6,2,Do white people feel threatened by the idea of minorities becoming the majority?,,Status Threat
100,322,1,2,3,,1,1,1,36,1,2,1,,,,,,0.264,29.741,41.378,26,To explain the change in demographic groups,1,4,1,Minorities population will increase ,1,3,1,4,3,4,16,16,1.133,44.208,45.4,42,3,3,3,1,1,1,4,1,26,5,4,2,How changes to society are viewed ,,Assuaged Threat
100,381,1,1,3,,1,1,1,10,6,6,2,,,,,,0,0,124.371,0,white people are going to become a minority around 2042.,4,4,1,birth rates of whites versus those of minorities.,2,3,5,2,2,3,15,14,9.469,74.086,74.666,13,3,3,1,7,7,6,5,6,37,2,4,2,how people view racial shifts in the population,,Assuaged Threat
100,498,1,2,3,,1,1,1,47,1,2,1,,20.781,55.048,67.901,11,,,,,Explain a trend in minority groups becoming a larger and larger portion of the United States population ,4,3,2,Birth rates are higher in Hispanic populations while white birth rates are steady,1,2,1,3,3,5,15,14,3.809,96.241,97.394,35,3,4,2,2,3,3,2,2,29,5,10,2,Conservative white Americans may view rising minority group populations as a threat to American culture,,Status Threat
100,352,1,2,3,,1,1,1,15,1,1,1,,0,0,77.252,0,,,,,to explain why minorities will soon outnumber whites in America ,4,3,2,minorities are having more babies than white people,1,1,1,1,1,5,18,14,9.452,66.477,67.562,10,2,5,1,4,1,4,1,2,24,5,4,2,how people feel about minorities ,,Status Threat
100,313,1,2,3,,1,1,1,18,1,3,1,,,,,,0,0,86.216,0,to educate the audience on racial makeup of the us population,4,3,1,white baby boomers aging out of childbearing age while young Hispanic women are having more children,2,2,1,2,2,1,13,19,5.77,49.651,50.355,9,2,4,1,3,1,3,1,3,21,3,8,2,racial minority population rates are influencing america,,Assuaged Threat
100,620,1,1,3,,1,1,1,11,1,2,3,,11.189,178.514,179.071,41,,,,,To explain a predicted change in the country's demographics in the near future.,4,3,2,A higher birthrate among minority groups,2,1,1,3,3,6,18,18,10.531,104.178,104.878,45,3,4,2,3,1,1,2,2,36,5,8,2,"That our, the test taker's, political leanings and the inbuilt biases of those leanings changes how we process provided information.",,Status Threat
100,562,1,2,3,,1,1,1,44,4,4,3,,35.63,139.447,147.204,9,,,,,To advise of the shift in racial majorities ,4,4,2,Baby boomers aging past child bearing years,1,1,5,2,3,4,17,16,10.418,99.572,100.294,32,5,2,5,4,2,7,2,4,51,2,2,2,How to decrease the rate of racial majority shift,,Status Threat
100,512,1,2,3,,1,1,1,33,5,3,1,,0,0,91.535,0,,,,,To state the reasons why the US white population will be in the minority by 2042.,4,4,2,Immigration,2,2,3,2,4,4,16,16,17.2,91.184,91.872,8,2,2,4,4,2,3,2,3,58,4,3,2,Seeing if there's a correlation with info in article to if you think US society is going downhill or not?,,Status Threat
100,942,1,2,3,,1,1,1,10,6,4,4,A follower of Jesus Christ who therefore believes in the Kingdom of Yahweh,,,,,11.083,101.191,128.177,3,To discuss the accelerated trend towards racial minorities ebcoming the majority of US population earlier than previously anticipated.,4,3,1,Increased birth rates for minorities compared to those of White Americans.,2,2,4,2,4,4,18,16,10.827,349.657,350.472,45,3,3,3,5,2,4,4,6,42,6,2,2,That the article information would bias the political responses.,,Assuaged Threat
100,400,1,1,3,,1,1,1,26,5,6,2,,0,0,107.545,0,,,,,to inform Americans of the trend in our demographics ehich ate shifting more in favor of minorities.,4,3,1,"Whites are just replacing our numbers, whereas minorities are increasing theirs.",2,1,3,4,4,5,19,15,7.96,53.64,54.407,20,3,3,3,5,3,6,2,5,39,3,4,2,To see if whites feel threatened by the article.,Thanks for the opportunity.,Status Threat
100,464,1,1,3,,1,1,1,22,4,4,3,,,,,,1.931,142.462,144.528,87,Racial minorities will eventually become the majority in the US,4,3,2,Hispanics having more children,1,2,3,1,2,5,18,14,3.116,62.259,62.898,60,3,2,4,5,4,6,4,4,42,3,6,2,Measuring public perception on immigration and demographic changes of the US,,Assuaged Threat
100,420,1,2,3,,1,1,1,41,1,2,1,,0,0,108.463,0,,,,,predict the projected percentage of white vs non-white population in the future,4,4,2,an increase in minority immigration to the U.S. and minority groups having more babies,1,2,1,4,5,4,18,14,9.715,63.911,64.823,10,3,4,1,3,2,3,2,2,23,5,6,2,hypothesizing the U.S population based on racial identity in the future,no,Status Threat
100,472,1,2,3,,1,1,1,26,4,4,3,,5.759,131.497,137.173,13,,,,,Show the grow of populations,4,5,2,Population ,2,2,5,1,2,6,18,14,10.008,81.677,82.788,23,3,3,3,6,1,7,4,4,47,3,3,2,Culture populism ,,Status Threat
100,394,1,2,3,,1,1,1,4,1,3,1,,0,0,66.062,0,,,,,Provide information about population trends,4,3,2,Higher birth rates among the Hispanic population vs the White population,1,2,1,4,3,2,17,14,15.782,83.381,84.278,13,1,4,1,2,1,2,1,2,36,7,5,2,How political beliefs impact thoughts about minorities,,Status Threat
100,433,1,2,3,,1,1,1,6,1,2,1,,0,0,101.247,0,,,,,To inform Americans the rising population of non-white people,4,4,2,"in the Hispanic population, birth rate to death rate is 9-1",2,2,2,4,4,5,18,15,7.459,95.367,96.439,20,3,4,1,2,2,3,2,2,20,3,8,2,Racial groups will be more populated,,Status Threat
100,505,1,2,3,,1,1,1,39,3,3,1,,11.691,75.46,98.93,23,,,,,Showing minorities will outnumber whites soon in the USA,4,3,2,Hispanics having 9 births per 1 death and whites having a 1:1 ratio,1,2,2,3,3,5,18,14,6.961,148.361,149.544,46,3,4,3,6,1,3,2,3,37,3,4,2,Demographics shifts in the future for the USA,No,Status Threat
100,293,1,2,3,,1,1,1,22,1,2,1,,,,,,0,0,70.659,0,To state that the time frame in which whites are no longer the racial majority is shortening,4,3,1,increased births among hispanics,1,1,1,1,1,6,18,14,11.631,58.108,59,17,3,4,1,6,1,3,1,2,39,5,1,2,no idea,,Assuaged Threat
100,554,1,1,3,,1,1,1,38,1,3,1,,0.968,60.071,68.669,29,,,,,To show statistics about decline of white majority racial demographics to minorities acceleration. ,4,3,2,"Birth rates of minorities, specifically Hispanic. ",1,1,5,2,1,5,19,15,2.135,75.324,75.959,44,2,3,3,6,1,4,1,1,41,3,2,2,Fear of races threatened with becoming minority ,,Status Threat
100,615,1,1,3,,1,1,1,6,1,2,3,,,,,,0,0,145.607,0,To articulate that White Americans will become the racial minority in the US quicker than previously thought,4,5,2,Hispanic birth rates are increasing while White birth rates are not,6,6,2,3,3,5,17,17,33.626,105.506,106.757,8,3,3,1,4,1,4,1,2,29,6,7,2,White Americans are more likely to appose things like immigration and more laxed citizenship after reading an article about how White Americans are becoming the minority population in the US,,Assuaged Threat
100,400,1,2,3,,1,1,1,34,1,1,1,,0,0,101.398,0,,,,,to educate about changing demographics of the United States,4,4,2,"Hispanic people, who are on average, younger than the white majority, are having babies more",2,2,1,3,3,3,17,14,4.013,43.429,44.189,12,2,4,2,1,1,2,1,2,30,6,2,2,beliefs about society and race depending on political affiliation,,Status Threat
100,662,1,2,3,,1,1,1,15,1,1,1,,,,,,23.758,23.758,58.203,1,To inform people that minorities will soon be the majority,4,5,2,higher birth rates for latinos,1,2,1,2,3,1,17,14,6.846,42.814,43.633,9,1,5,1,1,1,1,2,1,45,6,7,2,thoughts on the future of people in the US,,Assuaged Threat
100,427,1,2,3,,1,1,1,36,1,1,1,,,,,,3.209,87.508,94.8,12,To inform on changing demographics in the US,4,4,1,Hispanic births to deaths are 9:1 vs white births to deaths are about 1:1,2,2,1,4,2,5,17,17,9.32,98.046,99.241,24,3,3,1,3,1,1,1,1,26,5,10,2,Personal political views can predict an individual’s reaction to changing demographics in the US,N/A,Assuaged Threat
100,473,1,1,3,,1,2,1,10,6,6,2,,,,,,4.62,79.156,82.86,16,Whites will be minority sooner than expected ,4,4,1,Birthrates,1,1,2,2,1,5,19,14,8.175,114.401,114.951,28,4,1,4,7,6,6,7,6,46,6,9,2,Demographics are changing quickly ,,Assuaged Threat
100,580,1,2,3,,1,1,1,4,4,4,3,,,,,,0,0,141.074,0,Minority population increase,4,5,1,More Hispanic children born vs white births,1,1,7,1,5,5,18,14,23.639,154.263,155.323,8,3,3,3,7,4,7,2,3,64,4,3,2,not sure,,Assuaged Threat
100,768,1,2,3,,1,2,1,10,7,7,3,,,,,,1.792,183.036,227.301,36,Showing the rate of minorities becoming the majority predicted wrongly prior,4,3,1,People moving to the United States. ,1,1,1,3,3,7,19,13,1.238,182.691,183.297,45,4,1,3,4,3,7,4,6,40,2,4,2,Unsure,,Assuaged Threat
100,576,1,1,3,,1,1,1,43,6,6,2,,,,,,92.422,189.83,191.09,2,To point out that the current white majority will be a minority by 2042 according to changing demographics.,4,3,1,Increased immigration.  ,1,1,7,2,5,4,18,14,9.84,111.147,112.04,15,4,3,5,7,6,7,6,6,58,6,10,2,That immigration is changing the majority/minority ratio.,,Assuaged Threat
